aaad 工期
aaag 工巧
aaan 工艺
aaaq 工区
aaar 工匠
aaau 工薪
aabb 式子
aabw 戒除
aadc 工友
aadg 工厂
aafb 工地
aafc 工运
aafn 工场
aafw 工夫
aagc 工致
aagf 工于
aagk 工整
aago 戒严
aagq 工残
aagx 戒毒
aahh 工卡
aahw 工具
aaid 芽尖
aaif 工潮
aaip 工党
aajf 工时
aajj 工日
aajt 工蜂
aajy 工蚁
aalk 工架
aalt 工力
aama 工贼
aamq 戒网
aanh 戒惧
aany 戒心
aaog 工业
aaol 戒烟
aaou 工料
aape 工农
aaqg 工钱
aaqk 匿名
aaqy 工贸
aarb 匿报
aarg 工兵
aarh 戒掉
aaru 芽接
aarx 戒指
aasa 工模
aase 工棚
aasg 工本
aasu 式样
aata 工长
aatf 工行
aatk 工程
aatl 戒备
aatm 式微
aats 戒条
aatt 工笔
aatu 工科
aatv 戒律
aaud 工头
aauf 工装
aauj 工间
aauk 工部
aaum 工商
aauq 工资
aavn 戒刀
aawd 工段
aawf 工会
aawr 工件
aawt 工作
aawv 工分
aaww 工人
aaxl 工细
aayc 工序
aayo 匿迹
abab 节节
abad 萨斯
abaq 菡萏
abat 荫翳
abau 荫蔽
abce 节能
abdw 节奏
abet 节用
abeu 蒸腾
abfc 节支
abgh 节下
abgq 节烈
abhh 节目
abhk 节点
abii 节水
abim 节油
abir 蒸汽
abit 节省
abiy 节流
abjj 节日
abjn 节电
ablt 节略
abnt 蒸发
aboa 节煤
abof 蒸烤
abqi 萨尔
abqk 蒸锅
abqn 蒸馏
abrg 节后
abrk 节操
abrm 节制
abrn 节气
abrr 节拍
abru 萨拉
abse 荫棚
absg 节本
abtd 蒸笼
abtf 节选
abtr 萨特
abtv 节律
abud 节减
abue 节前
abuf 茁壮
abuy 荫凉
abvi 节录
abvv 节妇
abvx 萨姆
abwn 节假
abwt 节余
abww 节俭
abwy 节食
abxq 节约
abyc 节育
abye 节哀
abyx 荫庇
acaf 芭蕾
acaj 茅草
acaq 苔藓
acaw 芭蕉
acck 茅台
acdm 茅厕
acfg 茎干
acfy 茅坑
acng 茅屋
acrf 茅盾
acse 茅棚
acsf 茎杆
acwf 茅舍
acyn 茅房
acyy 茅庐
adaa 藏匿
adad 苦苦 斯基
adae 葳蕤
adai 菲薄
adak 甚或
adal 苦功
adan 欺世
adap 欺蒙
adaq 茏葱
adax 苦药
aday 葫芦
adbn 苦了
adbt 基隆
adbv 期限
adcd 苦参
adce 若能
adcl 苦劝
adcn 戎马
adcw 苦难
adcy 欺骗
addb 基础
adde 若有
addf 欺压
addg 基石
addh 藏在
addj 若非
addm 甚而
addn 茂盛
addr 莽原
addt 匪帮
adec 基肥
adej 苦胆
adep 甚受
adeq 藏胞
adfb 基地
adfd 若需
adfg 若干 苦干
adfh 基址
adfj 期刊
adfq 若无
adft 期考
adfw 若夫
adgc 甚至
adge 藏青
adgf 基于 苦于 甚于
adgg 其一
adgh 勘正
adgi 若不
adgk 惹事
adgm 若再
adgo 惹来
adgq 苦熬
adgs 期末
adha 欺瞒
adhh 项目
adhi 基督
adhk 基点 苦战
adhv 惹眼
adhw 期盼
adhx 藉此
adia 期满
adic 莽汉
adii 苦水
adim 勘测
adip 苦学
adis 斟酒
adit 苦海
adiv 苦涩
adiw 荐举
adjf 其时
adjg 若是
adjj 期日
adjs 苦果
adka 欺哄
adkf 苦味
adkh 其中
adkk 藏品
adld 基因
adlg 基辅
adln 苦思
adlt 苦力
adlu 项圈
adlx 苦累
admd 基岩
admh 藉由
admu 欺罔
admw 期内
adnf 基层
adng 苦情
adnn 藏书
adny 苦恼 苦心
adod 蕨类
adog 基业
adoo 惹火
adov 基数
adow 藕粉
adpf 苦寒
adpg 藏宝
adpl 匪军
adpn 茂密
adpt 欺客
adpu 其实
adpw 勘察
adpx 其它
adpy 惹祸
adqc 基色
adqe 其解
adqh 其外
adqi 苦乐
adqk 茂名 其名
adql 项链
adqm 欺负
adqq 基金
adqt 藏独
adqv 惹急
adrb 藏拙
adrc 苦瓜
adrf 基质
adrg 其后
adrn 惹气
adrp 勘探
adru 莽撞
adrw 若失
adry 藏掖
adsc 期权
adsg 基本 斟酌
adsh 若想
adsj 勘查
adsm 戎机
adsr 基板
adss 苦楚
adsu 勘校
adsv 若要
adtc 藏私
adtd 苦短
adtf 期待 匪徒
adtg 欺生
adth 苦处
adtj 惹得
adtm 藏身
adtt 苦笑
aduc 苦痛
adud 苦头
aduf 欺凌
adug 苦辣
aduh 基站
aduj 期间
aduk 基部
adun 苦闷
aduq 其次
adut 匪首
aduw 基准
adux 项背
advb 甚好
advc 惹怒
advf 基建
advj 匪巢
advt 藏娇
adwb 其他
adwg 苦命
adws 若何
adwt 其余 欺侮
adwx 期货
adxa 苦练
adxc 苦经
adxg 基线
adxh 荐引
adxq 期约
adxt 期终
adxx 藕丝
adya 苦度
adyf 苦读
adyg 藏语
adyk 苦衷 勘误
adyl 甚为
adym 基调
adyn 期望 期房
adyo 苦恋
adyq 基底
adyt 欺诈 藏族 期许
adyu 若说
adyw 基座
adyy 斯文
aeaa 散工
aeai 散落
aeaj 藤蔓
aeal 藤萝
aean 菜蔬
aeaw 菜花
aebb 藤子
aebm 散出
aebn 散了
aeca 散戏
aedh 散在
aedm 散布
aedn 散成
aeem 散股
aefb 菜地
aefc 散去
aefg 菜干
aefn 散场
aega 散开
aege 菜青
aegk 菜豆
aego 散灭
aehi 散步
aehk 菜点
aeii 散水
aeij 散漫
aeim 菜油
aeiq 散光
aeis 散酒
aekf 菜叶
aekk 菜品
aelf 菜园
aelg 菜圃
aelk 散架
aell 菜田
aema 散曲
aemq 散见
aend 散居
aent 散发
aeny 散心
aeob 菜籽
aepe 菜农
aepw 菜窖
aepy 藐视
aeqc 菜色
aeqd 菜肴
aeqg 散钱
aeqn 菜馆
aeqq 菜金
aeqy 菜鸟
aerc 散摊
aerg 散兵
aerh 菜牛
aers 散打
aert 散播
aerv 散热
aerw 散失
aesd 藤椅
aesg 菜梗
aesr 散板
aesv 菜根
aetd 散乱
aeth 藤牌
aetj 菜篮
aetm 散射
aets 藤条
aetx 菜系
aeud 散养
aeuf 散装
aeuj 菜单
aeun 散闷
aevn 菜刀
aewf 散会
aewo 散伙
aewr 散件
aews 散体
aexf 散结
aexy 藤编
aeya 散席
aeyj 散剂
aeym 菜市
aeyn 散户 散记
aeyt 散放
aeyu 菜谱
aeyw 散座
aeyy 散文
afad 甘苦
afaf 某某
afah 贰臣
afaj 甘草
afal 甘薯
afap 芙蓉
afar 鞋匠
afat 蔷薇
afay 甘蔗
afbb 鞋子 靴子 鞭子
afbk 革职
afbm 勒出
afbt 甘孜
afbw 革除
afck 靶台
afcn 鞍马
afde 著有
afdm 鞋面
afdr 甘愿
afdt 鞋帮
afee 某月
afep 甘受
affb 某地
affk 甘露
affm 甘南
affn 靶场
affp 勒索
affs 甘霖
affy 苇塘
afga 菱形
afgd 某天
afgf 甘于
afgk 鞋带 某事
afgq 勒死
afhx 某些
afid 芜湖
afim 甘油
afin 蒜泥
afiv 甘当
afjc 勒紧
afjf 某时
afjj 某日
afkh 鞋跟
aflh 某甲
afll 某男
afmh 鞋帽
afmm 鞍山
afnd 甘居
afnn 著书
afnt 革履
afny 甘心
