工具	aahw
工业	aaog
工程	aatk
工资	aauq
工作	aawt
工人	aaww
基地	adfb
其中	adkh
其实	adpu
其它	adpx
基本	adsg
期间	aduj
其他	adwb
东南	aifm
东西	aisg
东部	aiuk
东北	aiux
划分	ajwv
或者	akft
功能	alce
英国	amlg
世界	anlw
工业化	aowx
共和国	atlg
工商业	auog
共同	awmg
出其不意	bagu
取得	bctj
随后	bdrg
随着	bdud
取而代之	bdwp
职工	bkaa
职业	bkog
出去	bmfc
出现	bmgm
出来	bmgo
出口	bmkk
了解	bnqe
也许	bnyt
院长	bpta
联合	buwg
除了	bwbn
联合国	bwlg
联合会	bwwf
也就是说	byjy
双方	ccyy
参与	cdgn
通过	cefp
通常	ceip
能力	celt
能够	ceqk
对于	cfgf
对外	cfqh
对象	cfqj
对方	cfyy
对不起	cgfh
欢迎	cqqb
难以	cwny
难道	cwut
大声	ddfn
大型	ddga
大事	ddgk
大小	ddih
大大小小	ddii
大学	ddip
大明	ddje
大量	ddjg
大家	ddpe
大道	ddut
大会	ddwf
有些	dehx
有时	dejf
有所	dern
有关	deud
有朝一日	dfgj
感到	dggc
研制	dgrm
古代	dgwa
三个	dgwh
存在	dhdh
在于	dhgf
有没有	dide
大学生	ditg
非常	djip
百科	djtu
有时候	djwh
百度	djya
大别山	dkmm
有史以来	dkng
面对	dmcf
而是	dmjg
面积	dmtk
面前	dmue
成功	dnal
万元	dnfq
成果	dnjs
成员	dnkm
成本	dnsg
成长	dnta
成立	dnuu
成分	dnwv
成为	dnyl
达到	dpgc
大多数	dqov
原来	drgo
原因	drld
帮助	dteg
大部分	duwv
朋友	eedc
受到	epgc
爱国	eplg
用于	etgf
及其	eyad
地区	fbaq
地面	fbdm
地球	fbgf
地下	fbgh
地理	fbgj
地上	fbhh
进出口	fbkk
地位	fbwu
地方	fbyy
运动	fcfc
却是	fcjg
支持	fcrf
去年	fcrh
动物	fctr
无能为力	fcyl
未成年人	fdrw
需要	fdsv
城市	fdym
土地	fffb
运动员	ffkm
进一步	fghi
干部	fguk
十分	fgwv
真正	fhgh
起来	fhgo
真是	fhjg
真的	fhrq
直接	fhru
起义	fhyq
未来	figo
进去	fjfc
进来	fjgo
进步	fjhi
进行	fjtf
进入	fjty
喜欢	fkcq
地中海	fkit
南部	fmuk
南北	fmux
南京	fmyi
专业	fnog
专家	fnpe
专门	fnuy
过去	fpfc
过来	fpgo
过程	fptk
无法	fqif
元年	fqrh
无论	fqyw
老师	ftjg
教师	ftjg
考生	fttg
老人	ftww
增加	fulk
增长	futa
老人家	fwpe
规定	fwpg
夫人	fwww
无话可说	fysy
南京市	fyym
形式	gaaa
形成	gadn
武汉	gaic
开展	gana
开发	gant
开始	gavc
开放	gayt
两院制	gbrm
至于	gcgf
不能不	gcgi
至少	gcit
天下	gdgh
一成不变	gdgy
形而上学	gdhi
天然	gdqd
天门	gduy
不在话下	gdyg
表面	gedm
表现	gegm
表明	geje
青年	gerh
一动不动	gfgf
于是	gfjg
一无所知	gfrt
一下子	ggbb
一面	ggdm
来不及	ggey
一起	ggfh
一直	ggfh
一场	ggfn
一声	ggfn
一天	gggd
一下	gggh
一带	gggk
一步	gghi
一点	gghk
一眼	gghv
一些	gghx
一时	ggjf
一只	ggkw
一边	gglp
一家	ggpe
一定	ggpg
一把	ggrc
一年	ggrh
一样	ggsu
一般	ggte
一片	ggth
一种	ggtk
一条	ggts
一半	gguf
一次	gguq
一段	ggwd
一个	ggwh
一件	ggwr
一位	ggwu
一级	ggxe
一张	ggxt
正式	ghaa
正在	ghdh
下去	ghfc
下来	ghgo
政治	ghic
正常	ghip
正是	ghjg
政权	ghsc
政体	ghws
政府	ghyw
不了	gibn
不能	gice
还有	gide
不过	gifp
不到	gigc
一举一动	gigf
不再	gigm
不少	giit
还是	gijg
不足	gikh
不同	gimg
武当山	gimm
不断	gion
政治家	gipe
不想	gish
不可	gisk
还要	gisv
不知	gitd
不得	gitj
不管	gitp
不好	givb
不会	giwf
不但	giwj
更是	gjjg
更加	gjlk
理解	gjqe
理论	gjyw
带来	gkgo
事情	gkng
事业	gkog
事实	gkpu
一口气	gkrn
事务	gktl
整个	gkwh
事件	gkwr
一国两制	glgr
现在	gmdh
现实	gmpu
不由得	gmtj
两种	gmtk
不由自主	gmty
再次	gmuq
现代	gmwa
两个	gmwh
开发区	gnaq
不以为然	gnyq
来到	gogc
来源	goid
来看	gorh
来自	goth
来说	goyu
天安门	gpuy
现实主义	gpyy
天然气	gqrn
列为	gqyl
不可一世	gsga
一本正经	gsgx
不知去向	gtft
不得不	gtgi
平原	gudr
平民	guna
平等	gutf
至关重要	guts
一会儿	gwqt
一个个	gwwh
现代化	gwwx
不计其数	gyao
一方面	gydm
至高无上	gyfh
天主教	gyft
一言不发	gygn
平方米	gyoy
上面	hhdm
上上下下	hhgg
上海	hhit
目的	hhrq
目前	hhue
上海市	hiym
战争	hkqv
目的地	hrfb
眼前	hvue
具有	hwde
具体	hwws
此时	hxjf
此外	hxqh
此后	hxrg
江南	iafm
湖北	idux
法规	iffw
法国	iflg
法律	iftv
当事人	igww
小时	ihjf
小说	ihyu
水平	iigu
没有	imde
学院	ipbp
学者	ipft
常常	ipip
学习	ipnu
学校	ipsu
学生	iptg
觉得	iptj
常务	iptl
法西斯	isad
河南	isfm
没想到	isgc
河流	isiy
活动	itfc
少数	itov
海军	itpl
常委会	itwf
省级	itxe
湖北省	iuit
当地	ivfb
当下	ivgh
当时	ivjf
当然	ivqd
当年	ivrh
没什么	iwtc
举行	iwtf
最大	jbdd
最后	jbrg
最近	jbrp
最高	jbym
明白	jerr
明代	jewa
时期	jfad
里面	jfdm
时间	jfuj
时代	jfwa
时候	jfwh
是不是	jgjg
日子	jjbb
日常	jjip
里里外外	jjqq
日本	jjsg
电子	jnbb
电话	jnyt
果然	jsqd
昨天	jtgd
别有用心	kden
只不过	kgfp
中学	khip
中国	khlg
中心	khny
中间	khuj
中部	khuk
中小学	kiip
品种	kktk
中国队	klbw
别的	klrq
别人	klww
听到	krgc
听见	krmq
听说	kryu
只能	kwce
只有	kwde
只是	kwjg
只见	kwmq
中华民国	kwnl
只要	kwsv
只好	kwvb
因而	lddm
因此	ldhx
因为	ldyl
团体	lfws
国际	lgbf
国内	lgmw
国家	lgpe
力不从心	lgwn
四大	lhdd
四个	lhwh
加工	lkaa
回去	lkfc
回到	lkgc
回来	lkgo
加上	lkhh
加以	lkny
加入	lkty
加强	lkxk
国内外	lmqh
国民党	lnip
国务院	ltbp
力量	ltjg
办法	lwif
同学	mgip
同时	mgjf
同样	mgsu
同意	mguj
由于	mhgf
山东	mmai
山地	mmfb
见到	mqgc
几天	mtgd
几年	mtrh
几个	mtwh
内部	mwuk
展开	naga
民主	nayg
民族	nayt
居民	ndna
发布会	ndwf
发动机	nfsm
心理学	ngip
